0130370000 - НСПО - ПУБ Китен,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-02,,,,,4856.58,,,,,,,,,,,17752.19,,,,,,,,,,22608.77
2012-08-08,,,,,48.13,,,,,,,,,,,2200,,,,,,,,,,2248.13
2012-08-10,,,,,1000,,,,,,,,,,,13630.06,,,,,,,,,,14630.06
2012-08-13,180,,,,,,,,,,,,,,,,,,,,,,,,,180
2012-08-15,,,,,,,,,,,,,,,,1417.75,,,,,,,,,,1417.75
2012-08-21,,,,,1224,,,,,,,,,,,,,,,,,,,,,1224
2012-08-24,26147.15,2523.3,42.55,,404.85,,,,,,,,,,,,,,,,,,,,,29117.85
2012-08-29,,,,,466.44,,,,,,,,,,,15000,,,,,,,,,,15466.44
2012-09-04,,,,,1000,,,,,,,,,,,11101.59,,,,,,,,,,12101.59
2012-09-11,180,,,,,,,,,,,,,,,3068.98,,,,,,,,,,3248.98
2012-09-12,,,,,,,,,,,,,,,,47.04,,,,,,,,,,47.04
2012-09-21,7212.17,,,,,,,,,,,,,,,782.39,,,,,,,,,,7994.56
2012-09-24,25995.93,2514.52,42.55,,,,,,,,,,,,,,,,,,,,,,,28553
2012-09-25,,,,,3980.34,,,,,,,,,,,,,,,,,,,,,3980.34
2012-09-26,,,,7019.66,,,,,,7019.66
2012-09-28,24.83,,,,,,,,,,,,,,,,,,,,,,,,,24.83
2012-10-05,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2012-10-12,180,,,,,,,,,,,,,,,,,,,,,,,,,180
2012-10-24,22209.08,2290.58,42.92,,,,,,,,,,,,,,,,,,,,,,,24542.58
2012-10-26,384.42,,,,1000,,,,,,,,,,,,,,,,,,,,,1384.42
2012-11-05,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-11-13,180,,,,,,,,,,,,,,,,,,,,,,,,,180
2012-11-26,8680.5,874.62,42.88,,,,,,,,,,,,,,,,,,,,,,,9598
2012-12-10,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-12-18,16059.85,1677.26,55.89,,,,,,,,,,,,,,,,,,,,,,,17793
2013-01-21,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2013-01-28,16767.77,,38.23,,,,,,,,,,,,,,,,,,,,,,,16806
2013-02-12,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2013-02-26,9020,,,,,,,,,,,,,,,,,,,,,,,,,9020
2013-03-22,9335.12,,73.88,,,,,,,,,,,,,,,,,,,,,,,9409
2013-04-03,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2013-04-08,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2013-04-10,6700,,,,,,,,,,,,,,,,,,,,,,,,,6700
2013-04-16,,,,,10000,,,,,,,,,,,,,,,,,,,,,10000
2013-04-24,9062.12,,35.88,,,,,,,,,,,,,,,,,,,,,,,9098
2013-05-06,,,,,1558.67,,,,,,,,,,,10068.82,,,,,,,,,,11627.49
2013-05-09,,,,,3000,,,,,,,,,,,,,,,,,,,,,3000
2013-05-21,9369.6,,37.4,,,,,,,,,,,,,,,,,,,,,,,9407
2013-05-27,,,,,6000,,,,,,,,,,,,,,,,,,,,,6000
2013-05-30,,,,,4400,,,,,,,,,,,5000,,,,,,,,,,9400
2013-06-06,,,,,,,,,,,,,,,,1116.01,,,,,,,,,,1116.01
2013-06-10,,,,,437.05,,,,,,,,,,,5000,,,,,,,,,,5437.05
2013-06-11,,,,,1004.28,,,,,,,,,,,23.53,,,,,,,,,,1027.81
2013-06-12,2900,,,,,,,,,,,,,,,3791.64,,,,,,,,,,6691.64
2013-06-18,,,,,1000,,,,,,,,,,,5000,,,,,,,,,,6000
2013-06-19,,,,,,,,,,,,,,,,5000,,,,,,,,,,5000
2013-06-20,,,,,383.04,,,,,,,,,,,,,,,,,,,,,383.04
2013-06-21,,,,,616.96,,,,,,,,,,,,,,,,,,,,,616.96
2013-06-24,39935.74,,37.26,,,,,,,,,,,,,,,,,,,,,,,39973
2013-06-27,,,,,,,,,,,,,,,,788.94,,,,,,,,,,788.94
2013-06-28,,,,,,,,,,,,,,,,4211.06,,,,,,,,,,4211.06
2013-07-03,,,,,1200,,,,,,,,,,,14861.98,,,,,,,,,,16061.98
2013-07-04,,,,,,,,,,,,,,,,518.51,,,,,,,,,,518.51
2013-07-05,,,,,,,,,,,,,,,,4619.51,,,,,,,,,,4619.51
2013-07-09,,,,,800,,,,,,,,,,,,,,,,,,,,,800
2013-07-12,,,,,,,,,,,,,,,,13512.19,,,,,,,,,,13512.19
2013-07-17,,,,,,,,,,,,,,,,730.3,,,,,,,,,,730.3
2013-07-18,,,,,,,,,,,,,,,,3000,,,,,,,,,,3000
2013-07-19,,,,,603.84,,,,,,,,,,,2757.51,,,,,,,,,,3361.35
2013-07-23,,,,,1396.16,,,,,,,,,,,,,,,,,,,,,1396.16
2013-07-24,32021.71,,48.29,,,,,,,,,,,,,,,,,,,,,,,32070
2013-07-26,,,,,,,,,,,,,,,,5000,,,,,,,,,,5000
2013-07-31,,,,,,,,,,,,,,,,10000,,,,,,,,,,10000
2013-08-02,,,,,,,,,,,,,,,,16128.11,,,,,,,,,,16128.11
2013-08-05,,,,,,,,,,,,,,,,891.91,,,,,,,,,,891.91
2013-08-06,,,,,,,,,,,,,,,,1666,,,,,,,,,,1666
2013-08-07,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2013-08-09,,,,,,,,,,,,,,,,1313.98,,,,,,,,,,1313.98
2013-08-23,30053.1,,37.9,,,,,,,,,,,,,,,,,,,,,,,30091
2013-08-30,,,,,,,,,,,,,,,,20000,,,,,,,,,,20000
2013-09-10,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2013-09-13,,,,,,,,,,,,,,,,15325.79,,,,,,,,,,15325.79
2013-09-16,,,,,,,,,,,,,,,,460.27,,,,,,,,,,460.27
2013-09-20,,,,,,,,,,,,,,,,3000,,,,,,,,,,3000
2013-09-23,,,,,,,,,,,,,,,,1213.94,,,,,,,,,,1213.94
2013-09-24,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2013-09-25,2965.08,,37.9,,,,,,,,,,,,,,,,,,,,,,,3002.98
2013-09-26,26979.02,,,,,,,,,,,,,,,,,,,,,,,,,26979.02
2013-09-30,7200,,,,,,,,,,,,,,,,,,,,,,,,,7200
2013-10-24,25227.3,,37.64,,,,,,,,,,,,,,,,,,,,,,,25264.94
2013-10-25,649.06,,,,,,,,,,,,,,,,,,,,,,,,,649.06
2013-11-26,7992.27,,37.65,,565.01,,,,,,,,,,,,,,,,,,,,,8594.93
2013-11-27,,,,,935.07,,,,,,,,,,,,,,,,,,,,,935.07
2013-12-09,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2013-12-13,,,,,500,,,,,,,,,,,,,,,,,,,,,500
2013-12-18,15589.03,,48.38,,,,,,,,,,,,,,,,,,,,,,,15637.41
2013-12-19,560.59,,,,,,,,,,,,,,,,,,,,,,,,,560.59
